ticknumb	music	day1	day2	day3	change
4271	Crusty	2.52	 	 	 
4274	Crusty	2.82	.17	 	 
4281	Crusty	2.02	 	 	 
4284	Metaller	1.29	 	 	 
4285	No Musical Affiliation	1.26	 	 	 
4287	Metaller	.94	 	 	 
4291	Indie Kid	2	1.13	.53	-1.47
4292	No Musical Affiliation	.73	 	 	 
4294	Crusty	2.26	.79	 	 
4295	Crusty	2.23	 	 	 
4297	Crusty	2.35	 	 	 
4298	No Musical Affiliation	.55	.38	 	 
4301	No Musical Affiliation	1.85	 	 	 
4302	Crusty	.67	 	 	 
4305	Crusty	1.85	1	 	 
4306	Crusty	1.23	.2	 	 
4308	No Musical Affiliation	2.35	 	 	 
4309	Crusty	1.35	 	 	 
4310	No Musical Affiliation	1.94	 	 	 
4311	No Musical Affiliation	1.55	 	 	 
4312	Crusty	1.29	 	 	 
4313	Indie Kid	2.17	 	 	 
4314	Metaller	1.91	 	 	 
4333	Indie Kid	2.88	 	 	 
4334	No Musical Affiliation	2.36	 	 	 
4335	Indie Kid	2.36	 	 	 
4336	No Musical Affiliation	2.2	 	 	 
4349	Crusty	2.17	.47	.38	-1.79
4351	Crusty	.52	 	 	 
4352	Crusty	.32	 	 	 
4353	Metaller	1.52	.55	 	 
4354	Crusty	2	.94	.08	-1.92
4355	Metaller	1.32	1.02	1.2	-.12
4356	Indie Kid	2.05	 	 	 
4357	Crusty	1.73	 	 	 
4358	No Musical Affiliation	1.94	 	 	 
4359	Metaller	1.81	 	 	 
4360	Indie Kid	.9	.64	 	 
4361	No Musical Affiliation	1.58	.67	 	 
4363	Metaller	2.29	1.87	.91	-1.38
4366	No Musical Affiliation	2.57	 	 	 
4370	No Musical Affiliation	1.58	 	 	 
4382	Crusty	2.33	.82	 	 
4383	Crusty	3.15	 	 	 
4384	Indie Kid	2.29	 	 	 
4385	Crusty	.82	 	 	 
4386	Crusty	1.93	 	 	 
4387	No Musical Affiliation	1.82	 	 	 
4388	No Musical Affiliation	1.96	 	 	 
4389	No Musical Affiliation	1.32	.64	.47	-.85
4391	No Musical Affiliation	1.02	 	 	 
4392	No Musical Affiliation	1.14	 	 	 
4393	Metaller	2.32	 	 	 
4394	Metaller	2.16	 	 	 
4396	No Musical Affiliation	2.42	1.7	 	 
4397	No Musical Affiliation	1.14	 	 	 
4398	Indie Kid	1.55	.79	1.76	.21
4404	Indie Kid	1.17	 	 	 
4405	No Musical Affiliation	1	.58	.32	-.68
4410	Crusty	1.05	.11	 	 
4419	No Musical Affiliation	1.38	 	 	 
4428	No Musical Affiliation	1.93	2.42	 	 
4430	Metaller	2.73	 	 	 
4435	No Musical Affiliation	2.02	 	 	 
4436	Indie Kid	2.81	 	 	 
4437	No Musical Affiliation	2.47	 	 	 
4439	Metaller	1.35	 	 	 
4440	Crusty	2.08	 	 	 
4441	Crusty	2.5	 	 	 
4442	Indie Kid	2.45	 	 	 
4443	Metaller	2.17	 	 	 
4444	No Musical Affiliation	1.7	0	 	 
4445	No Musical Affiliation	.7	.23	.45	-.25
4446	Indie Kid	1.51	 	 	 
4447	Metaller	1.23	 	 	 
4448	Metaller	2.14	.85	 	 
4452	No Musical Affiliation	1.14	1.14	 	 
4453	Metaller	.96	 	 	 
4454	No Musical Affiliation	1.52	1.14	1.26	-.26
4455	No Musical Affiliation	.52	 	 	 
4456	Metaller	1.56	 	 	 
4459	No Musical Affiliation	3.29	.26	 	 
4464	No Musical Affiliation	.45	 	 	 
4467	Metaller	2.63	 	 	 
4468	Crusty	1.7	 	 	 
4470	Metaller	3.11	 	 	 
4479	Crusty	1.82	 	 	 
4481	Indie Kid	1.58	.14	 	 
4482	No Musical Affiliation	2.73	 	 	 
4485	No Musical Affiliation	1.5	1.14	 	 
4486	No Musical Affiliation	1.78	1.02	 	 
4488	No Musical Affiliation	2.02	 	 	 
4507	No Musical Affiliation	.67	.94	.91	.24
4509	Crusty	1.41	.55	 	 
4510	Metaller	.9	 	 	 
4511	Metaller	1.23	1.11	.76	-.47
4512	No Musical Affiliation	2.7	 	 	 
4514	Indie Kid	1.97	 	 	 
4515	Crusty	.84	 	 	 
4516	No Musical Affiliation	1.79	 	 	 
4517	No Musical Affiliation	2.84	 	 	 
4518	Crusty	2.02	 	 	 
4519	Metaller	1.64	.7	 	 
4525	No Musical Affiliation	1.08	 	 	 
4533	Indie Kid	2.97	 	 	 
4552	Crusty	.94	 	 	 
4553	Indie Kid	2.97	1.94	 	 
4554	Crusty	.97	 	 	 
4555	No Musical Affiliation	1.47	 	 	 
4559	Metaller	2.61	 	 	 
4563	Crusty	1.73	.2	.91	-.82
4564	Metaller	3.38	3.44	3.41	.0300000000000003
4569	No Musical Affiliation	3.17	1	1.73	-1.44
4570	No Musical Affiliation	2.2	.91	 	 
4571	Metaller	2.14	 	 	 
4582	Indie Kid	1.29	1.58	.81	-.48
4590	Metaller	3.21	2.85	 	 
4597	No Musical Affiliation	2.67	 	 	 
4598	Crusty	1.85	.79	 	 
4601	No Musical Affiliation	1.35	 	 	 
4607	No Musical Affiliation	2.14	.76	 	 
4611	No Musical Affiliation	1.24	.56	 	 
4654	No Musical Affiliation	2.02	1.78	2.55	.53
4655	No Musical Affiliation	2.32	 	 	 
4663	No Musical Affiliation	1.08	.23	 	 
4666	No Musical Affiliation	1.14	1.35	1.02	-.12
4690	Crusty	2.14	1.82	 	 
4692	Metaller	2.88	 	 	 
4693	Indie Kid	1.35	.17	.44	-.91
4694	Crusty	1	1.7	 	 
4695	Metaller	2.02	 	 	 
4696	No Musical Affiliation	.64	1.32	 	 
4697	Indie Kid	.29	.14	 	 
4698	Indie Kid	1.73	.94	 	 
4699	No Musical Affiliation	1.82	1.52	 	 
4704	Indie Kid	2.11	 	 	 
4710	No Musical Affiliation	1.23	 	 	 
4711	No Musical Affiliation	.64	 	 	 
4724	Metaller	2.23	1.41	2.11	-.12
4725	No Musical Affiliation	2.44	.32	 	 
4740	No Musical Affiliation	1.17	.58	 	 
4744	Crusty	.61	.44	 	 
4749	Metaller	.52	 	 	 
4756	No Musical Affiliation	2.91	.94	 	 
4758	Indie Kid	2.61	1.44	 	 
4759	No Musical Affiliation	1.47	 	 	 
4760	No Musical Affiliation	1.28	 	 	 
4765	Crusty	1.26	 	 	 
