Success	Funny	Sex	Good_Mate	Gender
Get Phone Number	6	7	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	6	4	8	Female
No response/Walk Off	3	8	5	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	5	7	5	Female
No response/Walk Off	5	8	4	Female
No response/Walk Off	5	6	5	Female
Go Home with Person	7	7	7	Female
Get Phone Number	5	6	6	Female
Go Home with Person	8	8	8	Female
Get Phone Number	5	6	7	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	3	5	6	Female
Get Phone Number	5	6	6	Female
Get Phone Number	6	7	0	Female
Get Phone Number	5	7	3	Female
No response/Walk Off	5	7	7	Female
No response/Walk Off	5	3	5	Female
No response/Walk Off	4	6	10	Female
Go Home with Person	6	6	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	6	7	7	Female
Get Phone Number	5	2	5	Female
No response/Walk Off	3	7	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	6	5	Female
Go Home with Person	5	6	6	Female
No response/Walk Off	5	5	5	Female
Get Phone Number	4	7	9	Female
Go Home with Person	3	7	7	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	6	6	5	Female
No response/Walk Off	5	6	7	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	7	6	6	Female
No response/Walk Off	4	6	5	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	4	6	6	Female
Get Phone Number	6	6	6	Female
Get Phone Number	4	7	5	Female
No response/Walk Off	6	7	6	Female
Go Home with Person	5	7	6	Female
Get Phone Number	5	6	5	Female
Get Phone Number	5	6	6	Female
Go Home with Person	7	7	7	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	5	6	2	Female
No response/Walk Off	4	7	7	Female
No response/Walk Off	5	5	6	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	2	9	5	Female
No response/Walk Off	3	6	6	Female
Get Phone Number	5	7	7	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	5	6	3	Female
No response/Walk Off	5	4	6	Female
No response/Walk Off	5	6	7	Female
Get Phone Number	5	6	6	Female
Get Phone Number	4	10	6	Female
Get Phone Number	6	2	10	Female
Get Phone Number	4	7	5	Female
No response/Walk Off	3	3	5	Female
Get Phone Number	6	7	7	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	3	5	6	Female
No response/Walk Off	6	6	7	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	6	6	6	Female
Get Phone Number	5	8	6	Female
No response/Walk Off	7	5	6	Female
Get Phone Number	3	7	6	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	6	5	5	Female
No response/Walk Off	6	6	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	5	4	Female
No response/Walk Off	2	6	7	Female
No response/Walk Off	3	5	4	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	5	7	6	Female
Get Phone Number	6	6	7	Female
No response/Walk Off	6	8	6	Female
No response/Walk Off	5	4	5	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	6	9	Female
Go Home with Person	7	6	8	Female
Get Phone Number	3	6	5	Female
Get Phone Number	4	7	5	Female
No response/Walk Off	5	1	5	Female
No response/Walk Off	6	7	6	Female
No response/Walk Off	4	7	3	Female
Get Phone Number	3	4	4	Female
Go Home with Person	6	7	9	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	3	5	7	Female
Get Phone Number	4	7	2	Female
Get Phone Number	6	2	5	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	6	6	5	Female
No response/Walk Off	5	8	6	Female
Get Phone Number	4	7	8	Female
No response/Walk Off	4	7	6	Female
Get Phone Number	8	6	6	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	4	4	5	Female
Go Home with Person	6	4	6	Female
No response/Walk Off	6	5	6	Female
No response/Walk Off	5	7	5	Female
Go Home with Person	7	7	6	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	4	7	5	Female
No response/Walk Off	3	7	5	Female
Get Phone Number	4	6	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	6	4	6	Female
Get Phone Number	7	5	5	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	5	10	5	Female
No response/Walk Off	5	6	5	Female
No response/Walk Off	4	1	6	Female
No response/Walk Off	3	7	5	Female
Get Phone Number	8	6	8	Female
Get Phone Number	6	8	6	Female
No response/Walk Off	4	7	5	Female
Get Phone Number	5	6	6	Female
Get Phone Number	4	7	6	Female
No response/Walk Off	6	8	7	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	0	4	5	Female
No response/Walk Off	4	6	7	Female
Get Phone Number	5	4	5	Female
No response/Walk Off	5	6	7	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	6	7	6	Female
No response/Walk Off	5	9	6	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	6	5	6	Female
Get Phone Number	5	7	6	Female
Get Phone Number	4	7	5	Female
No response/Walk Off	3	6	5	Female
No response/Walk Off	4	5	5	Female
No response/Walk Off	5	5	6	Female
Get Phone Number	5	2	6	Female
No response/Walk Off	6	7	6	Female
No response/Walk Off	4	5	6	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	3	9	7	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	7	6	5	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	5	4	5	Female
No response/Walk Off	2	4	3	Female
Get Phone Number	6	2	6	Female
Get Phone Number	5	5	6	Female
Go Home with Person	6	6	6	Female
Get Phone Number	6	7	7	Female
Go Home with Person	6	6	7	Female
No response/Walk Off	5	6	6	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	5	7	8	Female
Get Phone Number	5	7	6	Female
No response/Walk Off	4	6	6	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	4	1	5	Female
Get Phone Number	7	6	6	Female
Get Phone Number	5	4	5	Female
Get Phone Number	4	6	5	Female
Get Phone Number	6	6	6	Female
Get Phone Number	3	6	5	Female
No response/Walk Off	2	6	5	Female
Get Phone Number	4	5	6	Female
Get Phone Number	4	0	6	Female
No response/Walk Off	5	6	5	Female
Get Phone Number	4	6	6	Female
Get Phone Number	5	3	9	Female
Go Home with Person	7	7	7	Female
Go Home with Person	6	8	3	Female
No response/Walk Off	3	10	4	Female
Get Phone Number	5	7	6	Female
Get Phone Number	5	3	6	Female
Get Phone Number	5	0	7	Female
Get Phone Number	4	7	6	Female
Get Phone Number	7	3	7	Female
Get Phone Number	3	6	5	Female
No response/Walk Off	5	7	6	Female
No response/Walk Off	5	6	10	Female
Get Phone Number	5	5	5	Female
Get Phone Number	5	8	5	Female
Get Phone Number	5	6	3	Female
No response/Walk Off	3	7	5	Female
Get Phone Number	6	6	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	7	8	5	Female
Get Phone Number	5	6	6	Female
No response/Walk Off	4	5	5	Female
No response/Walk Off	4	9	6	Female
No response/Walk Off	5	7	6	Female
Get Phone Number	6	5	2	Female
Go Home with Person	6	7	6	Female
Get Phone Number	3	6	9	Female
No response/Walk Off	4	6	5	Female
Get Phone Number	4	6	5	Female
No response/Walk Off	4	7	6	Female
No response/Walk Off	5	6	6	Female
Get Phone Number	3	9	6	Female
Go Home with Person	4	7	7	Female
Get Phone Number	6	7	6	Female
Get Phone Number	5	2	6	Female
